Cor,CorrType,EdgeBetweenness,interaction,Pvalue,selected,shared interaction,shared name,partner1,partner2,Source,Target,a_d_interaction
-0.2136,Negative,15.092036355647547,interacts with,0.013,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,007761694cceb108c141cce8750b23b5_fungi,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0073,0002,0
-0.1893,Negative,11.060414958557136,interacts with,0.042,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0083,0002,0
0.3514,Positive,10.370382347773356,interacts with,0.001,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria,0093,0002,0
0.1933,Positive,16.551084747028337,interacts with,0.022,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,c2ff2968fc5eb368695f90ee12c20b86_bacteria,0127,0001,0
0.1862,Positive,14.04136264801177,interacts with,0.029,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) c2ff2968fc5eb368695f90ee12c20b86_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,c2ff2968fc5eb368695f90ee12c20b86_bacteria,0093,0001,0
0.1711,Positive,13.63696786165127,interacts with,0.045,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria,0093,0003,0
-0.1864,Negative,13.45186808492328,interacts with,0.033,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria,007761694cceb108c141cce8750b23b5_fungi,6025a8d68dfe9ed561f3501b70ef5274_bacteria,0073,0004,0
-0.2033,Negative,13.489602194301376,interacts with,0.006,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,6025a8d68dfe9ed561f3501b70ef5274_bacteria,0176,0004,0
-0.1908,Negative,11.445543804649809,interacts with,0.032,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,6025a8d68dfe9ed561f3501b70ef5274_bacteria,0083,0004,0
-0.1756,Negative,14.228624975400866,interacts with,0.031,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,6025a8d68dfe9ed561f3501b70ef5274_bacteria,0127,0004,0
0.1821,Positive,13.476206850197125,interacts with,0.039,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 871638cacece191a60d3f3fe9407c592_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,871638cacece191a60d3f3fe9407c592_bacteria,0083,0145,0
-0.187,Negative,15.458629115982053,interacts with,0.018,False,interacts with,6f919188220b0c82be4439bb63dd189e_fungi (interacts with) c861b1ec2e390a9906dec7ee827ab766_bacteria,6f919188220b0c82be4439bb63dd189e_fungi,c861b1ec2e390a9906dec7ee827ab766_bacteria,0222,0005,0
0.2248,Positive,23.420204847449224,interacts with,0.01,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 0a78918b318c9a666440b19941b2c94e_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,0a78918b318c9a666440b19941b2c94e_bacteria,0083,0105,0
0.2274,Positive,15.366476755702749,interacts with,0.004,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 0a78918b318c9a666440b19941b2c94e_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,0a78918b318c9a666440b19941b2c94e_bacteria,0127,0105,0
-0.356,Negative,12.608374796391416,interacts with,0.001,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 5d0942009326032f72c94ca27dc2015d_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,5d0942009326032f72c94ca27dc2015d_bacteria,0093,0131,0
-0.2329,Negative,14.455719919193646,interacts with,0.006,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 61781934a20bd3368b0737d605f29468_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,61781934a20bd3368b0737d605f29468_bacteria,0176,0007,0
0.2507,Positive,12.150922620365188,interacts with,0.004,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 61781934a20bd3368b0737d605f29468_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,61781934a20bd3368b0737d605f29468_bacteria,0093,0007,0
-0.176,Negative,16.676173920779032,interacts with,0.03,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) ab16c4e2e7a7ffc9a83c0ce1a1036214_bacteria,007761694cceb108c141cce8750b23b5_fungi,ab16c4e2e7a7ffc9a83c0ce1a1036214_bacteria,0073,0191,0
0.174,Positive,12.131405059030076,interacts with,0.04,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) ab16c4e2e7a7ffc9a83c0ce1a1036214_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,ab16c4e2e7a7ffc9a83c0ce1a1036214_bacteria,0083,0191,0
0.2493,Positive,15.762993809378791,interacts with,0.002,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) ab16c4e2e7a7ffc9a83c0ce1a1036214_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,ab16c4e2e7a7ffc9a83c0ce1a1036214_bacteria,0127,0191,0
0.177,Positive,11.143688307943432,interacts with,0.031,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 11d0b6aaf61245ed190220edb6779865_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,11d0b6aaf61245ed190220edb6779865_bacteria,0093,0008,0
-0.165,Negative,22.22473200448366,interacts with,0.039,False,interacts with,6f919188220b0c82be4439bb63dd189e_fungi (interacts with) 334a4708e1cedc4f04c44f0f47d2f29e_bacteria,6f919188220b0c82be4439bb63dd189e_fungi,334a4708e1cedc4f04c44f0f47d2f29e_bacteria,0222,0133,0
-0.1902,Negative,17.682167893096878,interacts with,0.023,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 334a4708e1cedc4f04c44f0f47d2f29e_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,334a4708e1cedc4f04c44f0f47d2f29e_bacteria,0127,0133,0
-0.1824,Negative,11.878852149149854,interacts with,0.029,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) 943689dc4b1c713707c1520019c4e91d_bacteria,007761694cceb108c141cce8750b23b5_fungi,943689dc4b1c713707c1520019c4e91d_bacteria,0073,0010,0
-0.1961,Negative,12.193987274697513,interacts with,0.009,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 943689dc4b1c713707c1520019c4e91d_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,943689dc4b1c713707c1520019c4e91d_bacteria,0176,0010,0
-0.211,Negative,13.475730341950962,interacts with,0.01,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 162bf54549080b290d1ec8b0e6afbc1b_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,162bf54549080b290d1ec8b0e6afbc1b_bacteria,0176,0107,0
-0.2735,Negative,13.96046411404468,interacts with,0.004,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 162bf54549080b290d1ec8b0e6afbc1b_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,162bf54549080b290d1ec8b0e6afbc1b_bacteria,0083,0107,0
-0.3238,Negative,12.876749362426995,interacts with,0.001,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 162bf54549080b290d1ec8b0e6afbc1b_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,162bf54549080b290d1ec8b0e6afbc1b_bacteria,0127,0107,0
-0.2412,Negative,14.581258072304632,interacts with,0.006,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 162bf54549080b290d1ec8b0e6afbc1b_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,162bf54549080b290d1ec8b0e6afbc1b_bacteria,0093,0107,0
-0.172,Negative,13.608529664693767,interacts with,0.034,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) d0c26a44a7a8b6ee4ba716861fc44da2_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,d0c26a44a7a8b6ee4ba716861fc44da2_bacteria,0127,0108,0
-0.2458,Negative,9.539809460958825,interacts with,0.007,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) c4e15ee4c6a6debb8ef308d21e737e8e_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,c4e15ee4c6a6debb8ef308d21e737e8e_bacteria,0083,0011,0
-0.3188,Negative,12.936913285290288,interacts with,0.001,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) c4e15ee4c6a6debb8ef308d21e737e8e_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,c4e15ee4c6a6debb8ef308d21e737e8e_bacteria,0127,0011,0
-0.2574,Negative,11.847324346210582,interacts with,0.003,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 0cb8dc0c56bd0e3524dba46d210b26c9_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,0cb8dc0c56bd0e3524dba46d210b26c9_bacteria,0093,0013,0
-0.2171,Negative,13.04031187102686,interacts with,0.004,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) a11e7d00f7f42af59b01f4684a52fa9d_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,a11e7d00f7f42af59b01f4684a52fa9d_bacteria,0093,0014,0
-0.2188,Negative,13.138973585580308,interacts with,0.006,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 613010f6345bf00e94847229463fe089_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,613010f6345bf00e94847229463fe089_bacteria,0176,0226,0
-0.2085,Negative,17.633295150430705,interacts with,0.007,False,interacts with,6f919188220b0c82be4439bb63dd189e_fungi (interacts with) 10608cb99e86b1430b6507d8fcb500e6_bacteria,6f919188220b0c82be4439bb63dd189e_fungi,10608cb99e86b1430b6507d8fcb500e6_bacteria,0222,0221,0
-0.173,Negative,14.46278568756432,interacts with,0.043,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 10608cb99e86b1430b6507d8fcb500e6_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,10608cb99e86b1430b6507d8fcb500e6_bacteria,0127,0221,0
0.1984,Positive,16.509067760185438,interacts with,0.006,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) c4f812a2f2095a7e9a8060a1c5a98588_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,c4f812a2f2095a7e9a8060a1c5a98588_bacteria,0127,0234,0
-0.1633,Negative,23.429982878891543,interacts with,0.043,False,interacts with,6f919188220b0c82be4439bb63dd189e_fungi (interacts with) 1e2dd0b096801694733a077125a20228_bacteria,6f919188220b0c82be4439bb63dd189e_fungi,1e2dd0b096801694733a077125a20228_bacteria,0222,0192,0
0.2088,Positive,18.68092300066734,interacts with,0.013,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 410eb181ab34fd951e2c531978b6faae_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,410eb181ab34fd951e2c531978b6faae_bacteria,0127,0015,0
-0.1682,Negative,13.109812755837073,interacts with,0.037,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 410eb181ab34fd951e2c531978b6faae_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,410eb181ab34fd951e2c531978b6faae_bacteria,0093,0015,0
-0.2217,Negative,10.167755433844658,interacts with,0.009,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) e8685172a54f1bfdffcce32273cb42f3_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,e8685172a54f1bfdffcce32273cb42f3_bacteria,0083,0016,0
-0.2217,Negative,16.856164645563013,interacts with,0.007,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) e8685172a54f1bfdffcce32273cb42f3_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,e8685172a54f1bfdffcce32273cb42f3_bacteria,0127,0016,0
-0.1899,Negative,10.653065445947798,interacts with,0.008,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 30915dab539abea2a31d47ae7d90792e_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,30915dab539abea2a31d47ae7d90792e_bacteria,0083,0017,0
0.1953,Positive,12.262152888528194,interacts with,0.009,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 30915dab539abea2a31d47ae7d90792e_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,30915dab539abea2a31d47ae7d90792e_bacteria,0093,0017,0
0.1613,Positive,20.4237153489038,interacts with,0.039,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) 30432de9f6dd4c74cc5042a8d0ece70f_bacteria,007761694cceb108c141cce8750b23b5_fungi,30432de9f6dd4c74cc5042a8d0ece70f_bacteria,0073,0152,0
0.1901,Positive,12.94931147284088,interacts with,0.004,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 30432de9f6dd4c74cc5042a8d0ece70f_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,30432de9f6dd4c74cc5042a8d0ece70f_bacteria,0176,0152,0
-0.2751,Negative,10.479477141416428,interacts with,0.002,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 064cd789fb8e827f4ab320316d71e12a_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,064cd789fb8e827f4ab320316d71e12a_bacteria,0083,0018,0
-0.2576,Negative,15.73856698520696,interacts with,0.003,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 064cd789fb8e827f4ab320316d71e12a_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,064cd789fb8e827f4ab320316d71e12a_bacteria,0127,0018,0
0.1943,Positive,10.27840076085994,interacts with,0.016,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) fb613c9c4a86c7589b321ffb051a485c_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,fb613c9c4a86c7589b321ffb051a485c_bacteria,0083,0020,0
-0.1829,Negative,13.066753842424715,interacts with,0.025,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) e1a8c7e8c3549b8c8130fe8c6d366052_bacteria,007761694cceb108c141cce8750b23b5_fungi,e1a8c7e8c3549b8c8130fe8c6d366052_bacteria,0073,0153,0
-0.1583,Negative,14.606583268596404,interacts with,0.034,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) e1a8c7e8c3549b8c8130fe8c6d366052_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,e1a8c7e8c3549b8c8130fe8c6d366052_bacteria,0176,0153,0
-0.2802,Negative,16.309806842387292,interacts with,0.002,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,007761694cceb108c141cce8750b23b5_fungi,eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,0073,0109,0
-0.2333,Negative,13.63032118968112,interacts with,0.002,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,0176,0109,0
-0.2234,Negative,13.944416293641329,interacts with,0.007,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,0127,0109,0
-0.2365,Negative,14.472878302533497,interacts with,0.004,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,eb9cdec519d0a08dcfb47dfac31c9b82_bacteria,0093,0109,0
0.159,Positive,14.8663875948246,interacts with,0.032,False,interacts with,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote (interacts with) 6f0c774f7177fa246b2e3d023979a44d_bacteria,fa5d2b7bc448a32fa9ec8262e24231be_eukaryote,6f0c774f7177fa246b2e3d023979a44d_bacteria,0093,0135,0
-0.1806,Negative,12.8044479524565,interacts with,0.01,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 59f72dd6eaf2a9d277540becada0fb4c_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,59f72dd6eaf2a9d277540becada0fb4c_bacteria,0176,0110,0
-0.1793,Negative,12.689681735337034,interacts with,0.035,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 59f72dd6eaf2a9d277540becada0fb4c_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,59f72dd6eaf2a9d277540becada0fb4c_bacteria,0083,0110,0
-0.163,Negative,16.01663855629238,interacts with,0.036,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) cfad561ce0a5f1aaddf0970d204a1e35_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,cfad561ce0a5f1aaddf0970d204a1e35_bacteria,0176,0021,0
-0.1902,Negative,10.269360427363289,interacts with,0.02,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) cfad561ce0a5f1aaddf0970d204a1e35_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,cfad561ce0a5f1aaddf0970d204a1e35_bacteria,0083,0021,0
-0.3407,Negative,12.9703553765715,interacts with,0.001,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) cfad561ce0a5f1aaddf0970d204a1e35_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,cfad561ce0a5f1aaddf0970d204a1e35_bacteria,0127,0021,0
-0.2445,Negative,10.92113593985244,interacts with,0.002,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 502b0a65026efd878a4e4c9295cc9e01_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,502b0a65026efd878a4e4c9295cc9e01_bacteria,0176,0251,0
-0.1648,Negative,13.169418548319754,interacts with,0.038,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 502b0a65026efd878a4e4c9295cc9e01_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,502b0a65026efd878a4e4c9295cc9e01_bacteria,0127,0251,0
-0.2498,Negative,8.747915812301201,interacts with,0.001,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 520fe6acd695f8e09998c6746855e420_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,520fe6acd695f8e09998c6746855e420_bacteria,0083,0024,0
-0.2613,Negative,11.206505538823684,interacts with,0.003,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) 958e14f4806af8a06db61870561138f7_bacteria,007761694cceb108c141cce8750b23b5_fungi,958e14f4806af8a06db61870561138f7_bacteria,0073,0154,0
-0.1787,Negative,8.9389777353984,interacts with,0.028,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 958e14f4806af8a06db61870561138f7_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,958e14f4806af8a06db61870561138f7_bacteria,0176,0154,0
-0.2044,Negative,24.781668001200813,interacts with,0.004,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) 5021bd1879d31f301889c2bfafefb3d2_bacteria,007761694cceb108c141cce8750b23b5_fungi,5021bd1879d31f301889c2bfafefb3d2_bacteria,0073,0247,0
-0.1405,Negative,14.621393680711384,interacts with,0.045,False,interacts with,6f919188220b0c82be4439bb63dd189e_fungi (interacts with) 5021bd1879d31f301889c2bfafefb3d2_bacteria,6f919188220b0c82be4439bb63dd189e_fungi,5021bd1879d31f301889c2bfafefb3d2_bacteria,0222,0247,0
